artistName,mixtapeName,url,downloads,streams,views,numberTracks,projectDuration,percentFeatures,djDummy,sponsoredDummy,officialDummy,mondayDummy,tuesdayDummy,wednesdayDummy,thursdayDummy,fridayDummy,saturdayDummy
Tyga,#BitchImTheShit,http://www.datpiff.com/Tyga-BitchImTheShit-mixtape.290715.html,"781,721","535,817","1,892,328",15,51.21666666666667,0.4666666666666667,1,1,1,1,0,0,0,0,0
Kendrick Lamar,O.verly D.edicated,http://www.datpiff.com/Kendrick-Lamar-Overly-Dedicated-mixtape.152921.html,"811,130","501,600","2,287,708",14,62.86666666666667,0.6428571428571429,0,1,1,0,0,0,0,1,0
French Montana & Coke Boys,Coke Boys 3,http://www.datpiff.com/French-Montana-Coke-Boys-Coke-Boys-3-mixtape.323050.html,"817,486","517,834","2,884,068",18,65.78333333333333,0.2777777777777778,1,1,1,0,0,0,0,1,0
Yo Gotti,CM7: The World Is Yours,http://www.datpiff.com/Yo-Gotti-CM7-The-World-Is-Yours-mixtape.405210.html,"849,666","490,102","2,452,001",19,63.53333333333333,0.3157894736842105,0,1,1,0,0,0,1,0,0
Wiz Khalifa,Cabin Fever,http://www.datpiff.com/Wiz-Khalifa-Cabin-Fever-mixtape.200862.html,"1,250,515","1,065,197","3,585,496",9,36.06666666666667,0.6666666666666666,1,1,1,0,0,0,1,0,0
2 Chainz,T.R.U. REALigion,http://www.datpiff.com/2-Chainz-TRU-REALigion-mixtape.265920.html,"869,319","681,518","2,237,886",19,61.55,0.5263157894736842,1,1,1,0,1,0,0,0,0
Lil Wayne,Dedication 5,http://www.datpiff.com/Lil-Wayne-Dedication-5-mixtape.525016.html,"1,351,876","776,441","6,523,134",29,95.55,0.41379310344827586,1,1,1,0,0,0,0,1,0
Tyga,Well Done 2,http://www.datpiff.com/Tyga-Well-Done-2-mixtape.252451.html,"728,755","653,241","2,069,022",12,31.533333333333335,0.25,1,1,1,1,0,0,0,0,0
Wyclef Jean,April Showers,http://www.datpiff.com/Wyclef-Jean-April-Showers-mixtape.482242.html,"720,075","242,541","1,162,427",33,118.21666666666667,0.48484848484848486,0,1,1,1,0,0,0,0,0
French Montana,Mac & Cheese 3 ,http://www.datpiff.com/French-Montana-Mac-Cheese-3-mixtape.392996.html,"1,383,200","671,206","3,791,368",21,75.05,0.047619047619047616,0,1,1,0,1,0,0,0,0
Lil Wayne,No Ceilings,http://www.datpiff.com/Lil-Wayne-No-Ceilings-mixtape.75250.html,"1,422,877","1,412,620","4,435,501",21,72.56666666666666,0.38095238095238093,0,1,1,0,0,0,0,0,0
ASAP Rocky,LiveLoveA$ap,http://www.datpiff.com/ASAP-Rocky-LiveLoveAap-mixtape.278798.html,"1,530,173","792,577","3,335,824",16,54.5,0.4375,0,1,1,1,0,0,0,0,0
Wiz Khalifa,Kush & OJ,http://www.datpiff.com/Wiz-Khalifa-Kush-OJ-mixtape.112367.html,"1,526,894","1,344,835","4,809,267",20,60.6,0.2,1,1,1,0,0,0,0,0,0
Jadakiss,Consignment,http://www.datpiff.com/Jadakiss-Consignment-mixtape.340926.html,"1,758,827","592,776","4,198,801",19,67.25,0.7894736842105263,1,1,1,0,0,0,1,0,0
Wiz Khalifa,Cabin Fever 2,http://www.datpiff.com/Wiz-Khalifa-Cabin-Fever-2-mixtape.406664.html,"1,781,033","893,093","4,201,714",14,54.28333333333333,0.7857142857142857,1,1,1,0,1,0,0,0,0
Big Sean,Detroit,http://www.datpiff.com/Big-Sean-Detroit-mixtape.390127.html,"2,139,099","1,077,158","5,066,549",17,61.516666666666666,0.5294117647058824,1,1,1,0,0,0,0,0,0
Lil Wayne,Dedication 4,http://www.datpiff.com/Lil-Wayne-Dedication-4-mixtape.385544.html,"2,081,419","1,173,674","5,999,059",15,52.0,0.5333333333333333,1,1,1,1,0,0,0,0,0
Lil Wayne,Sorry 4 The Wait,http://www.datpiff.com/Lil-Wayne-Sorry-4-The-Wait-mixtape.250654.html,"2,759,681","1,867,691","4,986,961",12,41.31666666666667,0.25,0,1,1,0,0,0,0,0,0
Meek Mill,Dreamchasers 2,http://www.datpiff.com/Meek-Mill-Dreamchasers-2-mixtape.339288.html,"4,376,285","2,078,377","9,805,901",20,73.65,0.55,0,1,1,1,0,0,0,0,0
Wiz Khalifa,Taylor Allderdice,http://www.datpiff.com/Wiz-Khalifa-Taylor-Allderdice-mixtape.324466.html,"2,117,470","1,405,663","6,246,660",17,61.13333333333333,0.4117647058823529,0,1,1,0,1,0,0,0,0
Rick Ross,Rich Forever,http://www.datpiff.com/Rick-Ross-Rich-Forever-mixtape.296828.html,"1,854,868","1,177,037","4,256,051",20,79.1,0.65,1,1,1,0,0,0,0,1,0
